Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_964359065.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	ERP119705_co14_243		2025-01-06	SAMEA117373224			groundwater metagenome	not provided		2019-01-08						haploid
GCA_964359425.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co14_44		2025-01-06	SAMEA117371267			groundwater metagenome	not provided		2019-01-08						haploid
GCA_964359455.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co14_30		2025-01-07	SAMEA117371253			groundwater metagenome	not provided		2019-01-08						haploid
GCA_964359485.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co14_3		2025-01-06	SAMEA117371252			groundwater metagenome	not provided		2019-01-08						haploid
GCA_964359525.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co14_301		2025-01-06	SAMEA117371254			groundwater metagenome	not provided		2019-01-08						haploid
GCA_964359785.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co15_581		2025-01-07	SAMEA117371373			groundwater metagenome	not provided		2019-01-07				true	contaminated	haploid
GCA_964359825.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co17_217		2025-01-06	SAMEA117119199			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964359915.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co16_313		2025-01-06	SAMEA117119151			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964359925.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co15_631		2025-01-06	SAMEA117119123			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964359935.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co17_381		2025-01-05	SAMEA117119225			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964360075.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co17_340		2025-01-06	SAMEA117119219			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964360115.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co15_611		2025-01-06	SAMEA117119116			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964360185.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co15_599		2025-01-08	SAMEA117371379			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964360275.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co15_60		2025-01-07	SAMEA117371380			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964360505.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co17_377		2025-01-05	SAMEA117119224			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964360565.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co15_591		2025-01-07	SAMEA117371374			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964360675.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co16_404		2025-01-05	SAMEA117119157			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964361055.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co17_188		2025-01-07	SAMEA117119198			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964361315.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co1_341		2025-01-05	SAMEA117119375			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964361485.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co19_63		2025-01-05	SAMEA117119325			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964361545.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	ERP119705_co19_29		2025-01-07	SAMEA117305315			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964361725.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co19_921		2025-01-06	SAMEA117119337			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964362085.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co1_279		2025-01-06	SAMEA117119368			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964362145.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co19_99		2025-01-04	SAMEA117119344			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964362365.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co19_172		2025-01-06	SAMEA117119314			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964362485.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co19_971		2025-01-07	SAMEA117119340			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964362535.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co18_167		2025-01-05	SAMEA117119264			groundwater metagenome	not provided		2019-01-08						haploid
GCA_964362805.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co24_24		2025-01-06	SAMEA117119562			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964363135.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co24_314		2025-01-06	SAMEA117119567			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964363875.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co23_579		2025-01-06	SAMEA117119529			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964364025.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co20_50		2025-01-06	SAMEA117119442			groundwater metagenome	not provided		2019-01-08						haploid
GCA_964364045.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co24_1021		2025-01-06	SAMEA117119545			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964364515.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co24_873		2025-01-06	SAMEA117119588			groundwater metagenome	not provided		2019-01-07				true	contaminated	haploid
GCA_964365265.1	uncultured Halobacteriales archaeon	215774	ERP119705_co25_451		2025-01-09	SAMEA117119646			groundwater metagenome	not provided		not provided						haploid
GCA_964365325.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co26_510		2025-01-06	SAMEA117119700			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964365555.1	uncultured Halobacteriales archaeon	215774	ERP119705_co25_392		2025-01-07	SAMEA117119640			groundwater metagenome	not provided		not provided						haploid
GCA_964365585.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co25_328		2025-01-05	SAMEA117119630			groundwater metagenome	not provided		not provided						haploid
GCA_964365685.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co26_93		2025-01-04	SAMEA117119704			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964367185.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co6_421		2025-01-05	SAMEA117119828			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964368095.1	uncultured Methanosarcinales archaeon	183757	ERP119705_co9_54		2025-01-06	SAMEA117119916			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964371755.1	uncultured Halobacteriales archaeon	215774	ERP124720_co1_52		2025-01-07	SAMEA117373700			sediment metagenome	Germany		2014						haploid
GCA_964372235.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_474		2025-01-06	SAMEA117373872			metagenome	not provided		not provided						haploid
GCA_964372525.1	uncultured Nitrosopumilales archaeon	171534	ERP125453_co1_312		2025-01-07	SAMEA117373804			metagenome	not provided		not provided						haploid
GCA_964372535.1	uncultured Nitrosopumilaceae archaeon	1118069	ERP125453_co1_237		2025-01-05	SAMEA117387869			metagenome	not provided		not provided						haploid
GCA_964372795.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_298		2025-01-05	SAMEA117373795			metagenome	not provided		not provided						haploid
GCA_964372965.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_342		2025-01-06	SAMEA117373822			metagenome	not provided		not provided						haploid
GCA_964373025.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_197		2025-01-04	SAMEA117373749			metagenome	not provided		not provided						haploid
GCA_964373125.1	uncultured Nitrosopumilales archaeon	171534	ERP125453_co1_176		2025-01-07	SAMEA117373742			metagenome	not provided		not provided						haploid
GCA_964373285.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_177		2025-01-05	SAMEA117373743			metagenome	not provided		not provided						haploid
GCA_964373305.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_129		2025-01-05	SAMEA117373724			metagenome	not provided		not provided						haploid
GCA_964373405.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_341		2025-01-06	SAMEA117373821			metagenome	not provided		not provided						haploid
GCA_964373535.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_122		2025-01-06	SAMEA117373722			metagenome	not provided		not provided						haploid
GCA_964373595.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_290		2025-01-06	SAMEA117373790			metagenome	not provided		not provided						haploid
GCA_964373735.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_30		2025-01-04	SAMEA117373797			metagenome	not provided		not provided						haploid
GCA_964373955.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_488		2025-01-06	SAMEA117373886			metagenome	not provided		not provided						haploid
GCA_964374085.1	uncultured Methanosarcinales archaeon	183757	ERP125453_co1_510		2025-01-05	SAMEA117373901			metagenome	not provided		not provided						haploid
GCA_964383645.1	uncultured Methanosarcinales archaeon	183757	SRP319275_co4_10		2025-01-06	SAMEA117297555			sediment metagenome	China		2018-07-28						haploid
GCA_964383685.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co132_159		2025-01-09	SAMEA117392818			hydrothermal vent metagenome	Indian Ocean		not provided						haploid
GCA_964383735.1	uncultured Candidatus Nitrosocosmicus sp.	2448472	binchicken_co31_49		2025-01-13	SAMEA117383814			soil metagenome	China		2017-09						haploid
GCA_964383875.1	uncultured Halobacteriales archaeon	215774	binchicken_co207_28		2025-01-10	SAMEA117364697			soil metagenome	not provided		2017-10-02						haploid
