Organism Name	Literature Reference	TaxID	Domain	Phylum	Class	Order	Family	Genus	Species
Desulfotomaculum	https://doi.org/10.1099/ijsem.0.001139	1562	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Desulfotomaculum	NULL
Dictyoglomi	https://doi.org/10.3389/fmicb.2016.01979	68297	Bacteria	Dictyoglomota	NULL	NULL	NULL	NULL	NULL
Fervidibacter	https://doi.org/10.1002/2211-5463.70072	1448928	Bacteria	Candidatus Fervidibacterota	Fervidibacteria	Fervidibacterales	Fervidibacteraceae	Fervidibacter	NULL
Fervidobacterium	https://doi.org/10.1186/s12864-024-11128-x	2422	Bacteria	Thermotogota	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	NULL
Fischerella thermalis	https://doi.org/10.1007/s00792-019-01125-4	372787	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella thermalis
Geobacillus	https://doi.org/10.1099/mic.0.000945	129337	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	NULL
Parageobacillus	https://doi.org/10.1099/mic.0.000945	1906945	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Parageobacillus	NULL
Gloeomargarita	https://doi.org/10.1128/msystems.00317-22	1188227	Bacteria	Cyanobacteriota	Cyanophyceae	Gloeomargaritales	Gloeomargaritaceae	Gloeomargarita	NULL
Hydrogenobacter	https://doi.org/10.1016/j.str.2024.02.012	939	Bacteria	Aquificota	Aquificia	Aquificales	Aquificaceae	Hydrogenobacter	NULL
Hydrogenophilus	https://doi.org/10.1016/j.str.2024.02.012	70774	Bacteria	Pseudomonadota	Hydrogenophilia	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus	NULL
Hydrogenobaculum	https://doi.org/10.1186/s12866-024-03704-8	168657	Bacteria	Aquificota	Aquificia	Aquificales	Aquificaceae	Hydrogenobaculum	NULL
Lysinibacillus	https://doi.org/10.3390/microorganisms10040709	400634	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	NULL
Mastigocladus	https://doi.org/10.1016/j.plaphy.2025.110384	29417	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Mastigocladus	NULL
Meiothermus	https://doi.org/10.1099/ijsem.0.002040	65551	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus	NULL
Methylococcaceae	https://doi.org/10.3389/fmicb.2023.1253773	403	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	NULL	NULL
Methylocystaceae	https://doi.org/10.3389/fmicb.2023.1253773	31993	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	NULL	NULL
Methylothermaceae	https://doi.org/10.3389/fmicb.2023.1253773	1486721	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylothermaceae	NULL	NULL
Moorella	https://doi.org/10.1186/s40643-023-00682-z	44260	Bacteria	Bacillota	Clostridia	Neomoorellales	Neomoorellaceae	Neomoorella	NULL
Nitrolancea	https://doi.org/10.3389/fmicb.2020.01522	1206748	Bacteria	Thermomicrobiota	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Nitrolancea	NULL
Oscillatoria	https://doi.org/10.1128/aem.01363-17	1158	Bacteria	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	NULL
Paenibacillus	https://doi.org/10.1016/j.jbiotec.2021.10.008	44249	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	NULL
Phormidium	https://doi.org/10.2166/wst.2017.478	1198	Bacteria	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Phormidium	NULL
Raineya	https://doi.org/10.1099/ijsem.0.002556	2071614	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Raineyaceae	Raineya	NULL
Rhodothermus	https://doi.org/10.1099/ijsem.0.005214	29548	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermus	NULL
Roseiflexus	https://doi.org/10.1016/j.bbrc.2019.08.010	120961	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	NULL
Schleiferia	https://doi.org/10.1128/aem.01704-22	1333716	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Schleiferiaceae	Schleiferia	NULL
Thermaurantimonas	https://doi.org/10.1099/ijsem.0.003888	2681566	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Schleiferiaceae	Thermaurantimonas	NULL
Streptococcus thermophilus	https://doi.org/10.1093/nar/gkae814	1308	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus
Sulfobacillus	https://doi.org/10.1007/s10532-023-10049-y	28033	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	NULL
Sulfurihydrogenibium	https://doi.org/10.1016/j.biortech.2022.128010	212790	Bacteria	Aquificota	Aquificia	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	NULL
Symbiobacterium	https://doi.org/10.1128/spectrum.00732-24	2733	Bacteria	Bacillota	Clostridia	Eubacteriales	Symbiobacteriaceae	Symbiobacterium	NULL
Synechococcus	https://doi.org/10.1128/msystems.00317-22	1129	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	NULL
Tepidiformia	https://doi.org/10.1099/ijsem.0.003902	2682225	Bacteria	Chloroflexota	Tepidiformia	NULL	NULL	NULL	NULL
Thermaerobacter	https://doi.org/10.1007/s00248-023-02182-1	73918	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter	NULL
