Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_009428885.1	Acidianus ambivalens	2283		DSM 3772	2019-10-30	SAMN13103967		DSM 3772	continental solfataric fields	Iceland		1986						haploid
GCA_009729015.1	Acidianus ambivalens	2283		LEI 10	2019-12-04	SAMN09933089		LEI 10	Solfataric mud from Leihnukur fissure in Iceland	Iceland: Leihnukur fissure	Missing	1984-08						haploid
GCA_003201835.2	Acidianus brierleyi	41673		DSM 1651	2020-03-10	SAMN09071529		DSM 1651	Drainage System from an acidic hot spring	USA: Yellowstone National Park, Wyoming	Missing	1966						haploid
GCA_003086435.1	Acidianus hospitalis	563177	SCGC AC-742_N10		2018-05-02	SAMN06968115	SCGC AC-742_N10		single cell amplified by MDA; Acidic hot spring	USA: Yellowstone National Park Hot spring NL01	44.7519 N 110.7288 W	2012-09-20						haploid
GCA_002116695.1	Acidianus manzaensis	282676		YN-25	2017-05-01	SAMN06640543		YN-25	volcanic hot spring	China: Tenchong Yunnan		2005-08						haploid
GCA_003201765.2	Acidianus sulfidivorans JP7	619593		JP7	2020-03-10	SAMN09071530		JP7	Edge of acidic hot spring	Papua New Guinea: Lihr Island	Missing	2002-05						haploid
GCA_011039725.1	Acidilobales archaeon	2268176	HyVt-154		2020-02-28	SAMN09638322	HyVt-154		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011041615.1	Acidilobales archaeon	2268176	HyVt-218		2020-02-29	SAMN09638393	HyVt-218		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011043295.1	Acidilobales archaeon	2268176	HyVt-181		2020-02-29	SAMN09638352	HyVt-181		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_000144915.1	Acidilobus saccharovorans 345-15	666510		345-15	2010-08-06	SAMN02603091		345-15	solfataric field of Uzon caldera	Russia: Kamchatka								haploid
GCA_003086325.1	Acidilobus sp. SCGC AC-742_E15	1987488	SCGC AC-742_E15		2018-05-02	SAMN06968113	SCGC AC-742_E15		single cell amplified by MDA; Acidic hot spring	USA: Yellowstone National Park Hot spring NL01	44.7519 N 110.7288 W	2012-09-20						haploid
GCA_003086315.1	Acidilobus sp. SCGC AC-742_M05	1987489	SCGC AC-742_M05		2018-05-02	SAMN06968114	SCGC AC-742_M05		single cell amplified by MDA; Acidic hot spring	USA: Yellowstone National Park Hot spring NL01	44.7519 N 110.7288 W	2012-09-20						haploid
GCA_001399695.1	Acidiplasma aeolicum	507754		V	2015-10-19	SAMN03274863		V	Hydrothermal pool	Italy: Vulcano Island		Unknown						haploid
GCA_001402945.1	Acidiplasma aeolicum	507754		VT	2015-10-22	SAMN04087216		VT	hydrothermal pool (sand/gravel)	Italy: Island Vulcano		2009						haploid
GCA_001402935.1	Acidiplasma cupricumulans	312540		BH2	2015-10-22	SAMN04087217		BH2	mineral sulfide ore	Myanmar		2006						haploid
GCA_002878135.1	Aciduliprofundum sp.	2060325	ARK-15		2018-01-11	SAMN08107308	ARK-15	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Arkashin hot spring	54.30 N 160.02 E	2004-08	not applicable					haploid
GCA_011042535.1	Aciduliprofundum sp.	2060325	HyVt-118		2020-02-29	SAMN09638282	HyVt-118		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_003601535.1	ANME-2 cluster archaeon	2056317	WYZ-LMO14		2018-10-01	SAMN08103063	WYZ-LMO14	missing	marine sediment sample collected at a deep sea vent site during cruise AT15-25 on Alvin dive 4460; sediment was oily and the sediment surface was covered with a white microbial mat	Mexico: Guaymas Basin, Gulf of California	missing	2008-10						haploid
GCA_003662925.1	Archaeoglobales archaeon	2250258	B50_G17		2018-10-15	SAMN09215012	B50_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003662965.1	Archaeoglobales archaeon	2250258	B8_G15		2018-10-15	SAMN09214879	B8_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662985.1	Archaeoglobales archaeon	2250258	B4_G15		2018-10-15	SAMN09214878	B4_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003662995.1	Archaeoglobales archaeon	2250258	B5_G16		2018-10-15	SAMN09214939	B5_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663025.1	Archaeoglobales archaeon	2250258	B35_G2		2018-10-15	SAMN09215056	B35_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003663055.1	Archaeoglobales archaeon	2250258	B10_G2		2018-10-15	SAMN09215055	B10_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_011605865.1	Archaeoglobales archaeon	2250258	SJ3.Bin61		2020-03-22	SAMN13964307	SJ3.Bin61		sediments from hot spring shelf	USA: Yellowstone National Park; Smokejumper3 Hot Spring	44.41595 N 110.9558 W	2014-07						haploid
GCA_011605875.1	Archaeoglobales archaeon	2250258	SJ3.Bin34		2020-03-22	SAMN13964306	SJ3.Bin34		sediments from hot spring shelf	USA: Yellowstone National Park; Smokejumper3 Hot Spring	44.41595 N 110.9558 W	2014-07						haploid
GCA_002254865.1	Archaeoglobales archaeon ex4484_92	2012529	ex4484_92		2017-08-16	SAMN06647980	ex4484_92		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12				true	contaminated	haploid
GCA_004347825.1	Archaeoglobi archaeon	2250530	WYZ-LMO1		2019-03-12	SAMN09404983	WYZ-LMO1	missing	hot springs sediment	USA:Yellowstone National Park, Wyoming, USA	44.376 N 110.69 W	missing						haploid
GCA_004347845.1	Archaeoglobi archaeon	2250530	WYZ-LMO3		2019-03-12	SAMN09404992	WYZ-LMO3	missing	hot springs sediment	USA:Yellowstone National Park, Wyoming, USA	44.611 N 110.44 W	2012-10-12						haploid
GCA_004347865.1	Archaeoglobi archaeon	2250530	WYZ-LMO2		2019-03-12	SAMN09404985	WYZ-LMO2	missing	hot springs sediment	USA:Yellowstone National Park, Wyoming, USA	44.6100 N 110.4400 W	2012-10-12						haploid
GCA_001508745.1	Archaeoglobus fulgidus	2234	49_95		2016-01-08	SAMN03445115	49_95		oil reservoir sample I2	USA: Alaska, North Slope, Ivishak formation	unknown	2013	NA					haploid
GCA_001508815.1	Archaeoglobus fulgidus	2234	49_2300		2016-01-08	SAMN03445123	49_2300		oil reservoir sample K2	USA: Alaska, North Slope, Kuparuk formation	unknown	2013	NA					haploid
GCA_000734035.1	Archaeoglobus fulgidus DSM 8774	1344584		DSM 8774	2014-07-28	SAMN03081472		DSM 8774	marine oilfield, North sea	Norway								haploid
GCA_003978865.1	Archaeoglobus sp.	1872626	MAG 85		2018-12-28	SAMN09407821	MAG 85		hydrothermal vent	Pacific Ocean: Mariana Back-Arc Basin vent fields	16.96131294 N 144.8678188 E	2016-12-10						haploid
GCA_011043275.1	Archaeoglobus sp.	1872626	HyVt-191		2020-02-29	SAMN09638363	HyVt-191		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011039865.1	Archaeoglobus veneficus	58290	HyVt-131		2020-02-28	SAMN09638297	HyVt-131		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02				true	unverified source organism	haploid
GCA_011043045.1	Archaeoglobus veneficus	58290	HyVt-173		2020-02-29	SAMN09638343	HyVt-173		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02				true	unverified source organism	haploid
GCA_000194625.1	Archaeoglobus veneficus SNP6	693661		SNP6	2011-03-31	SAMN00713598		SNP6	Black smoker wall, 3500 m depth	Missing	Missing	Missing						haploid
GCA_003661545.1	archaeon	1906665	B56_G1		2018-10-15	SAMN09214767	B56_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003661565.1	archaeon	1906665	B49_G2		2018-10-15	SAMN09215031	B49_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003661585.1	archaeon	1906665	B113_G9		2018-10-15	SAMN09215184	B113_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661605.2	archaeon	1906665	B48_G17		2021-02-06	SAMN09214986	B48_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661625.1	archaeon	1906665	B27_G9		2018-10-15	SAMN09215183	B27_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_006538205.1	archaeon	1906665	IPdc08		2019-06-11	SAMD00137673	IPdc08		sediment from marine hydrothermal vent chimney	Pacific Ocean:Southern Mariana Trough	12.9188 N 143.6495 E	2012-09-15						haploid
GCA_011049195.1	archaeon	1906665	SpSt-1190		2020-03-02	SAMN09639107	SpSt-1190		hot spring sediment	USA: California	39.0314 N 122.4323 W	2014-09-02						haploid
GCA_011049935.1	archaeon	1906665	HyVt-355		2020-03-02	SAMN09638545	HyVt-355		LokiAmp MDA-amplified sample from Loki's castle hydrothermal vent sediment	Arctic Ocean: Gakkel Ridge	73.763167 N 8.464000 E	2010						haploid
GCA_011050315.1	archaeon	1906665	HyVt-334		2020-03-02	SAMN09638522	HyVt-334		Loki non-amplified sample from Loki's castle hydrothermal vent sediment	Arctic Ocean: Gakkel Ridge	73.763167 N 8.464000 E	2010						haploid
GCA_001920715.1	archaeon 13_1_20CM_2_51_12	1805007			2016-12-23	SAMN04327685			Soil sample from Angelo meadow plot 1, 20cm depth, 4 days after first rain event (27mm)	USA: Angelo, CA	39.74 N 123.63 W	2013-09-25						haploid
GCA_001920655.1	archaeon 13_1_20CM_2_54_9	1805008			2016-12-23	SAMN04327726			Soil sample from Angelo meadow plot 1, 20cm depth, 4 days after first rain event (27mm)	USA: Angelo, CA	39.74 N 123.63 W	2013-09-25						haploid
GCA_001919285.1	archaeon 13_1_40CM_2_52_13	1805013			2016-12-23	SAMN04327953			Soil sample from Angelo meadow plot 1, 40cm depth, 4 days after first rain event (27mm)	USA: Angelo, CA	39.74 N 123.63 W	2013-09-25						haploid
GCA_001919275.1	archaeon 13_1_40CM_2_52_4	1805014			2016-12-23	SAMN04327958			Soil sample from Angelo meadow plot 1, 40cm depth, 4 days after first rain event (27mm)	USA: Angelo, CA	39.74 N 123.63 W	2013-09-25						haploid
GCA_001918315.1	archaeon 13_1_40CM_4_53_4	1805017			2016-12-23	SAMN04327880			Soil sample from Angelo meadow plot 1, 40cm depth, 2 days after first rain event (91mm)	USA: Angelo, CA	39.74 N 123.63 W	2013-10-02						haploid
GCA_001915075.1	archaeon 13_2_20CM_2_52_21	1805019			2016-12-23	SAMN04327913			Soil sample from Angelo meadow plot 2, 20cm depth, 2 days after second rain event (91mm)	USA: Angelo, CA	39.74 N 123.63 W	2013-10-02						haploid
GCA_001915065.1	archaeon 13_2_20CM_2_53_6	1805020			2016-12-23	SAMN04327914			Soil sample from Angelo meadow plot 2, 20cm depth, 2 days after second rain event (91mm)	USA: Angelo, CA	39.74 N 123.63 W	2013-10-02						haploid
GCA_002495465.1	archaeon UBA55	1917433	UBA55		2017-10-10	SAMN06027196	UBA55		Beebe hydrothermal vent plume at at depth of 4900m	Atlantic Ocean:Mid Cayman Rise		not applicable						haploid
GCA_000317795.1	Caldisphaera lagunensis DSM 15908	1056495		DSM 15908	2012-12-10	SAMN02261426		DSM 15908	An acidic hot spring; Philippines	Phillipines	Missing	Missing						haploid
GCA_002877795.1	Caldisphaera sp.	2060322	ZAV-20		2018-01-11	SAMN08107329	ZAV-20	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Zavarzin hot spring	54.295 N 160.052 E	2004-08	not applicable					haploid
GCA_002877855.1	Caldisphaera sp.	2060322	ZAV-19		2018-01-11	SAMN08107328	ZAV-19	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Zavarzin hot spring	54.295 N 160.052 E	2004-08	not applicable					haploid
GCA_002878225.1	Caldisphaera sp.	2060322	ARK-06		2018-01-11	SAMN08107299	ARK-06	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Arkashin hot spring	54.30 N 160.02 E	2004-08	not applicable					haploid
GCA_002878235.1	Caldisphaera sp.	2060322	ARK-07		2018-01-11	SAMN08107300	ARK-07	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Arkashin hot spring	54.30 N 160.02 E	2004-08	not applicable					haploid
GCA_001515805.1	Caldivirga sp. CIS_19	1714255			2016-01-15	SAMN04045692			terrestrial hot spring (Cistern Spring, YNP)	USA: Yellowstone National Park	44.723081 N 110.70402472 W	2007						haploid
GCA_001515815.1	Caldivirga sp. JCHS_4	1714254			2016-01-15	SAMN04045691			terrestrial hot spring (Joseph's Coat Hot Spring, YNP)	USA: Yellowstone National Park	44.739162 N 110.324494 W	2007						haploid
GCA_001516725.1	Caldivirga sp. MG_3	1714256			2016-01-15	SAMN04045693			terrestrial hot spring (Monarch Geyser, YNP)	USA: Yellowstone National Park	44.7242925 N 110.705613 W	2007						haploid
GCA_001663375.1	Caldivirga sp. MU80	1650354		MU80	2016-06-15	SAMN03580834		MU80	hot spring	USA: Yellowstone National Park, WY		2012-05						haploid
GCA_000632495.1	Candidatus Acidianus copahuensis	1160895		ALE1	2014-04-15	SAMN02679956		ALE1	hot springs	Argentina: Copahue, Neuquen	37.816611 S 71.096811 W	2011						haploid
GCA_011372225.1	Candidatus Aciduliprofundum boonei	379547	HyVt-85		2020-03-16	SAMN09638878	HyVt-85		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-11-30						haploid
GCA_002255055.1	Candidatus Aenigmarchaeota archaeon ex4484_14	2012502	ex4484_14		2017-08-16	SAMN06647952	ex4484_14		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12						haploid
GCA_002254545.1	Candidatus Aenigmarchaeota archaeon ex4484_224	2012503	ex4484_224		2017-08-16	SAMN06647962	ex4484_224		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12						haploid
GCA_002254415.1	Candidatus Aenigmarchaeota archaeon ex4484_52	2012504	ex4484_52		2017-08-16	SAMN06647971	ex4484_52		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12						haploid
GCA_002254685.1	Candidatus Aenigmarchaeota archaeon ex4484_56	2012505	ex4484_56		2017-08-16	SAMN06647972	ex4484_56		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12						haploid
GCA_003663225.1	Candidatus Aenigmatarchaeota archaeon	3121606	B8_G16		2018-10-15	SAMN09214909	B8_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663235.1	Candidatus Aenigmatarchaeota archaeon	3121606	B84_G16		2018-10-15	SAMN09214910	B84_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663265.1	Candidatus Aenigmatarchaeota archaeon	3121606	B73_G9		2018-10-15	SAMN09215181	B73_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003663285.1	Candidatus Aenigmatarchaeota archaeon	3121606	B62_G1		2018-10-15	SAMN09214765	B62_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30				true	contaminated	haploid
GCA_003663295.1	Candidatus Aenigmatarchaeota archaeon	3121606	B56_G9		2018-10-15	SAMN09215180	B56_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003663325.1	Candidatus Aenigmatarchaeota archaeon	3121606	B55_G9		2018-10-15	SAMN09215179	B55_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003663345.1	Candidatus Aenigmatarchaeota archaeon	3121606	B50_G15		2018-10-15	SAMN09214857	B50_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663355.1	Candidatus Aenigmatarchaeota archaeon	3121606	B34_G15		2018-10-15	SAMN09214856	B34_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663385.1	Candidatus Aenigmatarchaeota archaeon	3121606	B34_G1		2018-10-15	SAMN09214764	B34_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30				true	contaminated	haploid
GCA_003663405.1	Candidatus Aenigmatarchaeota archaeon	3121606	B31_G9		2018-10-15	SAMN09215178	B31_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003663415.1	Candidatus Aenigmatarchaeota archaeon	3121606	B30_G1		2018-10-15	SAMN09214763	B30_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003663445.1	Candidatus Aenigmatarchaeota archaeon	3121606	B14_G16		2018-10-15	SAMN09214908	B14_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663465.1	Candidatus Aenigmatarchaeota archaeon	3121606	B110_G9		2018-10-15	SAMN09215177	B110_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003663475.1	Candidatus Aenigmatarchaeota archaeon	3121606	B13_G16		2018-10-15	SAMN09214907	B13_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_011039365.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-214		2020-02-28	SAMN09638389	HyVt-214		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011039595.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-176		2020-02-28	SAMN09638346	HyVt-176		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011039605.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-177		2020-02-28	SAMN09638347	HyVt-177		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011039815.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-132		2020-02-28	SAMN09638298	HyVt-132		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011040795.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-120		2020-02-29	SAMN09638285	HyVt-120		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011041635.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-217		2020-02-29	SAMN09638392	HyVt-217		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011041775.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-207		2020-02-29	SAMN09638381	HyVt-207		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011041995.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-172		2020-02-29	SAMN09638342	HyVt-172		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011042465.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-121		2020-02-29	SAMN09638286	HyVt-121		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011043235.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-227		2020-02-29	SAMN09638403	HyVt-227		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011044075.1	Candidatus Aenigmatarchaeota archaeon	3121606	HyVt-178		2020-03-01	SAMN09638348	HyVt-178		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_003661185.1	Candidatus Alkanophagales archaeon	2971454	B39_G2		2018-10-15	SAMN09215057	B39_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003663045.1	Candidatus Altarchaeales archaeon	2250256	B80_G16		2018-10-15	SAMN09214942	B80_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663075.1	Candidatus Altarchaeales archaeon	2250256	B76_G9		2018-10-15	SAMN09215223	B76_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003663105.1	Candidatus Altarchaeales archaeon	2250256	B60_G2		2018-10-15	SAMN09215060	B60_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003663115.1	Candidatus Altarchaeales archaeon	2250256	B52_G2		2018-10-15	SAMN09215059	B52_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003663125.1	Candidatus Altarchaeales archaeon	2250256	B36_G9		2018-10-15	SAMN09215222	B36_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003663165.1	Candidatus Altarchaeales archaeon	2250256	B25_G15		2018-10-15	SAMN09214881	B25_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003663175.1	Candidatus Altarchaeales archaeon	2250256	B22_G2		2018-10-15	SAMN09215058	B22_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003663205.1	Candidatus Altarchaeales archaeon	2250256	B20_G1		2018-10-15	SAMN09214792	B20_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_011040285.1	Candidatus Altarchaeales archaeon	2250256	HyVt-188		2020-02-28	SAMN09638359	HyVt-188		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011041525.1	Candidatus Altarchaeales archaeon	2250256	HyVt-221		2020-02-29	SAMN09638397	HyVt-221		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02				true	contaminated	haploid
GCA_011042275.1	Candidatus Altarchaeales archaeon	2250256	HyVt-139		2020-02-29	SAMN09638305	HyVt-139		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011044085.1	Candidatus Altarchaeales archaeon	2250256	HyVt-130		2020-03-01	SAMN09638296	HyVt-130		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011380095.1	Candidatus Altarchaeales archaeon	2250256	SpSt-1148		2020-03-17	SAMN09639060	SpSt-1148		hot spring sediment	USA: California	39.0314 N 122.4323 W	2014-09-02						haploid
GCA_002254565.1	Candidatus Altarchaeales archaeon ex4484_2	2012506	ex4484_2		2017-08-16	SAMN06647956	ex4484_2		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12						haploid
GCA_002254945.1	Candidatus Altarchaeales archaeon ex4484_43	2012507	ex4484_43		2017-08-16	SAMN06647970	ex4484_43		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12						haploid
GCA_002254405.1	Candidatus Altarchaeales archaeon ex4484_96	2012508	ex4484_96		2017-08-16	SAMN06647981	ex4484_96		deep-sea hydrothermal vent sediments from dive 4484	USA: Guaymas Basin, Gulf of California	27.0388 N 111.2456 W	2009-12						haploid
GCA_000565255.1	Candidatus Aramenus sulfurataquae	1326980	AZ1-illumina		2014-02-07	SAMN03444554	AZ1-illumina		two 30-60 cm subsurface water samples (65C) from the hot springs at Los Azufres National Park	Mexico: Michoacan	19.783333 N 100.65 W							haploid
